DHSID_EA,cname,year,lat,lon,n_asset,asset_index,n_water,water_index,cluster_id,adm1dhs,urban,path
IA-2015-7-00010096,IA,2015,8.07657671805,93.5493454207,22.0,2.695127349626415,22.0,5.0,10096,1,R,dhs_train/IA-2015-7-00010096.npz
IA-2015-7-00010097,IA,2015,11.6111361984,92.7147614157,22.0,2.765448353234577,22.0,5.0,10097,1,U,dhs_train/IA-2015-7-00010097.npz
IA-2015-7-00010101,IA,2015,12.506813237,92.9091704607,22.0,0.9332452601124008,22.0,4.909090909090909,10101,1,R,dhs_train/IA-2015-7-00010101.npz
IA-2015-7-00010111,IA,2015,11.6650401582,92.7388259316,22.0,2.954777607801511,22.0,5.0,10111,1,U,dhs_train/IA-2015-7-00010111.npz
IA-2015-7-00010113,IA,2015,6.98928990091,93.891761003,21.0,1.9955175454015093,21.0,5.0,10113,1,R,dhs_train/IA-2015-7-00010113.npz
IA-2015-7-00010115,IA,2015,12.3080991508,92.7646229737,22.0,0.5976133364676415,22.0,4.0,10115,1,R,dhs_train/IA-2015-7-00010115.npz
IA-2015-7-00010116,IA,2015,11.7720118142,92.7069585239,21.0,2.6610762720171546,21.0,4.809523809523809,10116,1,R,dhs_train/IA-2015-7-00010116.npz
IA-2015-7-00010119,IA,2015,11.671239,92.733078,20.0,2.8609709731318,20.0,5.0,10119,1,U,dhs_train/IA-2015-7-00010119.npz
IA-2015-7-00010121,IA,2015,10.5636727977,92.5238439741,22.0,2.7069629695957547,22.0,5.0,10121,1,R,dhs_train/IA-2015-7-00010121.npz
IA-2015-7-00010122,IA,2015,12.0200883904,92.961055961,22.0,1.5442144262256592,22.0,4.954545454545454,10122,1,R,dhs_train/IA-2015-7-00010122.npz
IA-2015-7-00010123,IA,2015,11.6100228755,92.6372250721,20.0,2.7976714412393657,20.0,4.8,10123,1,R,dhs_train/IA-2015-7-00010123.npz
IA-2015-7-00010125,IA,2015,11.6464224954,92.7286365409,22.0,2.683156079630705,22.0,5.0,10125,1,U,dhs_train/IA-2015-7-00010125.npz
IA-2015-7-00010128,IA,2015,11.653572,92.660988,21.0,2.6354959032364693,21.0,5.0,10128,1,R,dhs_train/IA-2015-7-00010128.npz
IA-2015-7-00010132,IA,2015,11.61346504,92.7413576114,22.0,2.895333674440617,22.0,5.0,10132,1,U,dhs_train/IA-2015-7-00010132.npz
IA-2015-7-00010135,IA,2015,8.09737957283,93.5001578984,22.0,2.779112078391593,22.0,5.0,10135,1,R,dhs_train/IA-2015-7-00010135.npz
IA-2015-7-00010140,IA,2015,7.96381356619,93.3179701422,20.0,1.9574243030453864,20.0,5.0,10140,1,R,dhs_train/IA-2015-7-00010140.npz
IA-2015-7-00010144,IA,2015,7.98658229633,93.3862278567,20.0,1.9893613198962887,20.0,5.0,10144,1,R,dhs_train/IA-2015-7-00010144.npz
IA-2015-7-00010164,IA,2015,8.06152047476,93.5405941299,21.0,1.966413903209025,21.0,5.0,10164,1,R,dhs_train/IA-2015-7-00010164.npz
IA-2015-7-00010166,IA,2015,9.18046767968,92.8206748042,22.0,2.759597035587648,22.0,5.0,10166,1,R,dhs_train/IA-2015-7-00010166.npz
IA-2015-7-00010173,IA,2015,11.606091,92.727476,21.0,2.849583190972404,21.0,5.0,10173,1,U,dhs_train/IA-2015-7-00010173.npz
IA-2015-7-00010175,IA,2015,9.20823169847,92.7695876334,22.0,2.7933490491332367,22.0,5.0,10175,1,R,dhs_train/IA-2015-7-00010175.npz
IA-2015-7-00010179,IA,2015,13.2653905973,93.0139335184,21.0,1.1789903134168922,21.0,4.904761904761905,10179,1,R,dhs_train/IA-2015-7-00010179.npz
IA-2015-7-00010182,IA,2015,10.7065561796,92.5746754252,22.0,1.9732061168999988,22.0,4.636363636363637,10182,1,R,dhs_train/IA-2015-7-00010182.npz
IA-2015-7-00010186,IA,2015,12.471301,92.884686,22.0,2.4166956852874755,22.0,5.0,10186,1,R,dhs_train/IA-2015-7-00010186.npz
IA-2015-7-00010188,IA,2015,11.7021197588,92.7292558626,20.0,2.7551858180220163,20.0,5.0,10188,1,U,dhs_train/IA-2015-7-00010188.npz
IA-2015-7-00010189,IA,2015,13.1632479948,92.9438353949,21.0,0.5589227720696424,21.0,3.952380952380953,10189,1,R,dhs_train/IA-2015-7-00010189.npz
IA-2015-7-00010190,IA,2015,9.22845349615,92.800247928,22.0,2.6484839806706613,22.0,5.0,10190,1,R,dhs_train/IA-2015-7-00010190.npz
IA-2015-7-00010191,IA,2015,11.6544941295,92.7480053708,20.0,2.690727519549532,20.0,5.0,10191,1,U,dhs_train/IA-2015-7-00010191.npz
IA-2015-7-00010198,IA,2015,11.6685429587,92.7309398639,21.0,2.7955412031709974,21.0,5.0,10198,1,U,dhs_train/IA-2015-7-00010198.npz
IA-2015-7-00010200,IA,2015,12.5153479626,92.9091058591,22.0,0.0987251126656073,22.0,4.818181818181818,10200,1,R,dhs_train/IA-2015-7-00010200.npz
IA-2015-7-00010204,IA,2015,12.8248816707,92.8474304446,22.0,0.050738890474834,22.0,4.818181818181818,10204,1,R,dhs_train/IA-2015-7-00010204.npz
IA-2015-7-00010205,IA,2015,6.98291870579,93.896887833,21.0,2.7433041859427614,21.0,5.0,10205,1,R,dhs_train/IA-2015-7-00010205.npz
IA-2015-7-00010207,IA,2015,13.218674449,92.9197814719,21.0,0.5042401924192786,21.0,4.619047619047619,10207,1,R,dhs_train/IA-2015-7-00010207.npz
IA-2015-7-00010209,IA,2015,11.5834075583,92.6691219298,21.0,2.387696895052504,21.0,5.0,10209,1,R,dhs_train/IA-2015-7-00010209.npz
IA-2015-7-00010213,IA,2015,10.7336761429,92.57332702,22.0,1.6052059807101478,22.0,4.409090909090909,10213,1,R,dhs_train/IA-2015-7-00010213.npz
IA-2015-7-00010216,IA,2015,11.7525375105,92.6960046172,21.0,2.738176375646016,21.0,4.9523809523809526,10216,1,R,dhs_train/IA-2015-7-00010216.npz
IA-2015-7-00020002,IA,2015,16.48773119,80.99881333,20.0,1.1633597017091937,20.0,4.6,20002,2,R,dhs_train/IA-2015-7-00020002.npz
IA-2015-7-00020004,IA,2015,18.41398424,82.53004568,22.0,-2.317044721062491,22.0,1.0,20004,2,R,dhs_train/IA-2015-7-00020004.npz
IA-2015-7-00020005,IA,2015,16.59135359,81.98810902,22.0,1.5906401194512234,22.0,4.590909090909091,20005,2,R,dhs_train/IA-2015-7-00020005.npz
IA-2015-7-00020007,IA,2015,17.31799296,82.43850382,21.0,0.4139520472186478,21.0,5.0,20007,2,R,dhs_train/IA-2015-7-00020007.npz
IA-2015-7-00020016,IA,2015,16.40391981,81.10906706,21.0,0.9055191972255116,21.0,4.095238095238095,20016,2,R,dhs_train/IA-2015-7-00020016.npz
IA-2015-7-00020018,IA,2015,16.90336647,80.09956086,20.0,2.6104483198035173,20.0,4.85,20018,2,U,dhs_train/IA-2015-7-00020018.npz
IA-2015-7-00020021,IA,2015,13.47597464,78.4634162,20.0,2.4880394985064287,20.0,4.95,20021,2,U,dhs_train/IA-2015-7-00020021.npz
IA-2015-7-00020023,IA,2015,14.35398874,77.65880458,21.0,0.7353261410705536,21.0,4.904761904761905,20023,2,R,dhs_train/IA-2015-7-00020023.npz
IA-2015-7-00020030,IA,2015,14.91264239,78.01285125,22.0,2.5608668954292098,22.0,4.909090909090909,20030,2,U,dhs_train/IA-2015-7-00020030.npz
IA-2015-7-00020031,IA,2015,18.72198249,84.07028209,20.0,0.4763794919414068,20.0,3.95,20031,2,R,dhs_train/IA-2015-7-00020031.npz
IA-2015-7-00020033,IA,2015,17.14129526,81.38286354,22.0,1.840291102840416,22.0,4.727272727272728,20033,2,R,dhs_train/IA-2015-7-00020033.npz
IA-2015-7-00020035,IA,2015,14.846463,79.899317,22.0,-0.0853478855185112,22.0,4.727272727272728,20035,2,R,dhs_train/IA-2015-7-00020035.npz
IA-2015-7-00020037,IA,2015,17.25910563,82.18105568,20.0,0.5810587265858332,20.0,4.8,20037,2,R,dhs_train/IA-2015-7-00020037.npz
IA-2015-7-00020038,IA,2015,16.81507841,81.70508877,21.0,0.6524899153524674,21.0,3.1904761904761907,20038,2,R,dhs_train/IA-2015-7-00020038.npz
IA-2015-7-00020040,IA,2015,14.16710468,78.47141546,21.0,0.2481140060112276,21.0,4.523809523809524,20040,2,R,dhs_train/IA-2015-7-00020040.npz
IA-2015-7-00020041,IA,2015,14.4448358,79.53808293,21.0,0.3015707929316382,21.0,4.047619047619048,20041,2,R,dhs_train/IA-2015-7-00020041.npz
IA-2015-7-00020042,IA,2015,18.85978471,84.57357552,23.0,0.5440499172963418,23.0,4.956521739130435,20042,2,R,dhs_train/IA-2015-7-00020042.npz
IA-2015-7-00020044,IA,2015,14.98599062,79.63876254,20.0,-0.0271309628848436,20.0,4.05,20044,2,R,dhs_train/IA-2015-7-00020044.npz
IA-2015-7-00020048,IA,2015,14.63667548,78.14923751,21.0,2.665100446769092,21.0,5.0,20048,2,R,dhs_train/IA-2015-7-00020048.npz
IA-2015-7-00020058,IA,2015,16.64943337,80.97491964,20.0,2.648337386855552,20.0,5.0,20058,2,R,dhs_train/IA-2015-7-00020058.npz
IA-2015-7-00020060,IA,2015,13.49090576,79.69664106,21.0,-0.6128994540947186,21.0,3.571428571428572,20060,2,R,dhs_train/IA-2015-7-00020060.npz
IA-2015-7-00020061,IA,2015,17.67946337,83.20590865,20.0,2.61280413642851,20.0,5.0,20061,2,U,dhs_train/IA-2015-7-00020061.npz
IA-2015-7-00020068,IA,2015,17.68286796,83.19354963,20.0,2.8533477673254133,20.0,5.0,20068,2,U,dhs_train/IA-2015-7-00020068.npz
IA-2015-7-00020073,IA,2015,17.73720441,83.31044133,19.0,2.7861862163374407,19.0,4.894736842105263,20073,2,U,dhs_train/IA-2015-7-00020073.npz
IA-2015-7-00020076,IA,2015,14.46323365,78.81250966,21.0,3.014683645147058,21.0,4.619047619047619,20076,2,U,dhs_train/IA-2015-7-00020076.npz
IA-2015-7-00020078,IA,2015,17.8737319,82.87066707,21.0,1.2052879800015954,21.0,4.238095238095238,20078,2,R,dhs_train/IA-2015-7-00020078.npz
IA-2015-7-00020079,IA,2015,15.36197603,80.10835773,22.0,1.1228594591260517,22.0,3.5,20079,2,R,dhs_train/IA-2015-7-00020079.npz
IA-2015-7-00020082,IA,2015,16.89728133,81.3785177,22.0,1.978173807192394,22.0,4.909090909090909,20082,2,R,dhs_train/IA-2015-7-00020082.npz
IA-2015-7-00020092,IA,2015,13.81238884,77.13906601,22.0,0.0682940856096379,22.0,4.181818181818182,20092,2,R,dhs_train/IA-2015-7-00020092.npz
IA-2015-7-00020094,IA,2015,16.9646547,82.25977056,21.0,2.186700193748212,21.0,4.904761904761905,20094,2,U,dhs_train/IA-2015-7-00020094.npz
IA-2015-7-00020099,IA,2015,14.34397815,79.9350832,21.0,0.0521149544380157,21.0,4.047619047619048,20099,2,R,dhs_train/IA-2015-7-00020099.npz
IA-2015-7-00020102,IA,2015,14.54782621,79.91571262,21.0,0.5262403361621324,21.0,4.714285714285714,20102,2,R,dhs_train/IA-2015-7-00020102.npz
IA-2015-7-00020104,IA,2015,16.77448391,80.64998899,20.0,2.2144659633996784,20.0,4.95,20104,2,R,dhs_train/IA-2015-7-00020104.npz
IA-2015-7-00020106,IA,2015,16.52953819,80.61167655,20.0,2.7255286904256404,20.0,5.0,20106,2,U,dhs_train/IA-2015-7-00020106.npz
IA-2015-7-00020109,IA,2015,18.3468358,84.000084,20.0,0.7783754204576717,20.0,4.2,20109,2,R,dhs_train/IA-2015-7-00020109.npz
IA-2015-7-00020116,IA,2015,15.7117779,78.27687376,21.0,2.176280757973408,21.0,5.0,20116,2,R,dhs_train/IA-2015-7-00020116.npz
IA-2015-7-00020117,IA,2015,17.816115,83.24429532,21.0,1.0949884715189924,21.0,4.523809523809524,20117,2,R,dhs_train/IA-2015-7-00020117.npz
IA-2015-7-00020122,IA,2015,16.57146549,81.96336936,22.0,0.9062559842612918,22.0,5.0,20122,2,R,dhs_train/IA-2015-7-00020122.npz
IA-2015-7-00020123,IA,2015,17.90228866,82.86301045,21.0,-0.2815272867130193,21.0,3.2857142857142856,20123,2,R,dhs_train/IA-2015-7-00020123.npz
IA-2015-7-00020125,IA,2015,18.588198,84.311909,20.0,0.3515572957301106,20.0,5.0,20125,2,R,dhs_train/IA-2015-7-00020125.npz
IA-2015-7-00020127,IA,2015,15.65380137,79.36279921,22.0,0.6338451058539502,22.0,3.8181818181818175,20127,2,R,dhs_train/IA-2015-7-00020127.npz
IA-2015-7-00020133,IA,2015,18.65182984,84.12712731,21.0,-0.4144717415786607,21.0,4.047619047619048,20133,2,R,dhs_train/IA-2015-7-00020133.npz
IA-2015-7-00020139,IA,2015,17.01469484,81.78554581,19.0,2.733122588153282,19.0,5.0,20139,2,U,dhs_train/IA-2015-7-00020139.npz
IA-2015-7-00020149,IA,2015,16.53798451,80.6074041,22.0,2.696971367739769,22.0,4.909090909090909,20149,2,U,dhs_train/IA-2015-7-00020149.npz
IA-2015-7-00020150,IA,2015,15.13087893,79.99006673,21.0,1.975770230863844,21.0,4.095238095238095,20150,2,R,dhs_train/IA-2015-7-00020150.npz
IA-2015-7-00020152,IA,2015,16.72064919,81.11420021,23.0,2.3293852509516184,23.0,4.652173913043479,20152,2,U,dhs_train/IA-2015-7-00020152.npz
IA-2015-7-00020157,IA,2015,15.34265303,77.78471347,21.0,1.5495282470896397,21.0,4.809523809523809,20157,2,R,dhs_train/IA-2015-7-00020157.npz
IA-2015-7-00020158,IA,2015,16.53532015,81.93020252,22.0,1.5741929196282802,22.0,4.863636363636363,20158,2,R,dhs_train/IA-2015-7-00020158.npz
IA-2015-7-00020170,IA,2015,15.02947376,77.38916773,20.0,1.9234677459035043,20.0,5.0,20170,2,R,dhs_train/IA-2015-7-00020170.npz
IA-2015-7-00020171,IA,2015,19.06124419,83.67644325,22.0,-1.590520697247912,22.0,3.363636363636364,20171,2,R,dhs_train/IA-2015-7-00020171.npz
IA-2015-7-00020178,IA,2015,18.79294864,83.45537456,20.0,1.929882235488782,20.0,5.0,20178,2,U,dhs_train/IA-2015-7-00020178.npz
IA-2015-7-00020180,IA,2015,16.78465514,81.34780231,21.0,1.7003804646821776,21.0,4.809523809523809,20180,2,R,dhs_train/IA-2015-7-00020180.npz
IA-2015-7-00020183,IA,2015,17.73391778,83.33024035,20.0,2.466026663618708,20.0,4.8,20183,2,U,dhs_train/IA-2015-7-00020183.npz
IA-2015-7-00020184,IA,2015,16.88545118,81.00840242,21.0,1.080740665329104,21.0,5.0,20184,2,R,dhs_train/IA-2015-7-00020184.npz
IA-2015-7-00020185,IA,2015,15.18682386,77.39311493,19.0,1.9880696687314008,19.0,5.0,20185,2,R,dhs_train/IA-2015-7-00020185.npz
IA-2015-7-00020187,IA,2015,16.42231014,81.51557938,20.0,0.9088565718695144,20.0,5.0,20187,2,R,dhs_train/IA-2015-7-00020187.npz
IA-2015-7-00020188,IA,2015,15.63681545,77.29097318,21.0,1.4749037374170308,21.0,5.0,20188,2,U,dhs_train/IA-2015-7-00020188.npz
IA-2015-7-00020190,IA,2015,13.61948129,79.42087298,19.0,2.700945860439999,19.0,4.473684210526316,20190,2,U,dhs_train/IA-2015-7-00020190.npz
IA-2015-7-00020192,IA,2015,12.98931636,78.48130758,20.0,1.8746466773794817,20.0,5.0,20192,2,R,dhs_train/IA-2015-7-00020192.npz
IA-2015-7-00020203,IA,2015,17.52753827,82.89855426,20.0,-0.0189997106794324,20.0,3.15,20203,2,R,dhs_train/IA-2015-7-00020203.npz
IA-2015-7-00020204,IA,2015,18.36228606,83.49275519,21.0,0.7214408573796629,21.0,4.619047619047619,20204,2,R,dhs_train/IA-2015-7-00020204.npz
IA-2015-7-00020208,IA,2015,18.36525652,83.68663648,20.0,0.0371343421855574,20.0,4.05,20208,2,R,dhs_train/IA-2015-7-00020208.npz
IA-2015-7-00020211,IA,2015,18.6160719,83.66364628,19.0,0.3616580225980376,19.0,4.368421052631579,20211,2,R,dhs_train/IA-2015-7-00020211.npz
IA-2015-7-00020217,IA,2015,16.42199143,80.98778542,21.0,2.7731490222226785,21.0,5.0,20217,2,U,dhs_train/IA-2015-7-00020217.npz
IA-2015-7-00020220,IA,2015,15.71761477,77.4427783,22.0,0.7904310813397514,22.0,4.909090909090909,20220,2,R,dhs_train/IA-2015-7-00020220.npz
IA-2015-7-00020225,IA,2015,16.744395,81.73152371,21.0,0.5915978969932768,21.0,3.1904761904761907,20225,2,R,dhs_train/IA-2015-7-00020225.npz
IA-2015-7-00020232,IA,2015,18.67598459,83.67810805,19.0,-0.7438584273666612,19.0,3.8947368421052633,20232,2,R,dhs_train/IA-2015-7-00020232.npz
IA-2015-7-00020239,IA,2015,16.43596264,80.9858432,20.0,2.974582936867399,20.0,4.95,20239,2,U,dhs_train/IA-2015-7-00020239.npz
IA-2015-7-00020242,IA,2015,17.16024134,82.26648924,21.0,1.0887972781687338,21.0,4.9523809523809526,20242,2,R,dhs_train/IA-2015-7-00020242.npz
IA-2015-7-00020243,IA,2015,15.15581542,77.93191299,21.0,0.5473493838248069,21.0,4.714285714285714,20243,2,R,dhs_train/IA-2015-7-00020243.npz
IA-2015-7-00020248,IA,2015,18.18508415,83.16702963,21.0,0.3036459793652288,21.0,4.238095238095238,20248,2,R,dhs_train/IA-2015-7-00020248.npz
IA-2015-7-00020251,IA,2015,17.79012364,82.79051252,21.0,-0.4944167854849137,21.0,3.2857142857142856,20251,2,R,dhs_train/IA-2015-7-00020251.npz
IA-2015-7-00020258,IA,2015,17.73711245,83.02545286,18.0,2.2744148802031603,18.0,4.777777777777778,20258,2,U,dhs_train/IA-2015-7-00020258.npz
IA-2015-7-00020260,IA,2015,13.57368204,80.05505872,22.0,1.3397276048543936,22.0,5.0,20260,2,R,dhs_train/IA-2015-7-00020260.npz
IA-2015-7-00020266,IA,2015,15.17169913,79.94217586,21.0,1.3564753288290696,21.0,4.523809523809524,20266,2,R,dhs_train/IA-2015-7-00020266.npz
IA-2015-7-00020269,IA,2015,16.52156667,81.73551931,19.0,2.506882963350689,19.0,5.0,20269,2,U,dhs_train/IA-2015-7-00020269.npz
IA-2015-7-00020273,IA,2015,14.7392507,79.05301372,19.0,3.010941759200146,19.0,5.0,20273,2,U,dhs_train/IA-2015-7-00020273.npz
IA-2015-7-00020276,IA,2015,18.30792954,84.10827561,20.0,1.2547798525729454,20.0,4.5,20276,2,R,dhs_train/IA-2015-7-00020276.npz
IA-2015-7-00020278,IA,2015,17.85778641,82.76040186,21.0,-0.6069082921411791,21.0,3.380952380952381,20278,2,R,dhs_train/IA-2015-7-00020278.npz
IA-2015-7-00020280,IA,2015,16.48900322,80.6137054,21.0,2.454499593169057,21.0,4.809523809523809,20280,2,U,dhs_train/IA-2015-7-00020280.npz
IA-2015-7-00020292,IA,2015,15.65589484,77.28119762,20.0,1.745536140049602,20.0,4.4,20292,2,U,dhs_train/IA-2015-7-00020292.npz
IA-2015-7-00020293,IA,2015,15.29966243,77.24648525,20.0,0.8941741296438985,20.0,4.65,20293,2,R,dhs_train/IA-2015-7-00020293.npz
IA-2015-7-00020294,IA,2015,13.55841343,79.53596814,20.0,-0.443477062723268,20.0,3.4,20294,2,R,dhs_train/IA-2015-7-00020294.npz
IA-2015-7-00020295,IA,2015,15.22866541,79.91335589,21.0,0.451832495772719,21.0,5.0,20295,2,U,dhs_train/IA-2015-7-00020295.npz
IA-2015-7-00020296,IA,2015,17.27191271,81.77848225,21.0,1.4429022369406748,21.0,5.0,20296,2,R,dhs_train/IA-2015-7-00020296.npz
IA-2015-7-00020297,IA,2015,17.9829613,83.48519378,21.0,0.2468531769817407,21.0,4.333333333333333,20297,2,R,dhs_train/IA-2015-7-00020297.npz
IA-2015-7-00020299,IA,2015,15.94951666,79.26899843,22.0,0.9185625416886172,22.0,4.7727272727272725,20299,2,R,dhs_train/IA-2015-7-00020299.npz
IA-2015-7-00020303,IA,2015,15.79136807,79.27597572,21.0,1.7730090714573448,21.0,5.0,20303,2,R,dhs_train/IA-2015-7-00020303.npz
IA-2015-7-00020307,IA,2015,16.35640108,80.48007551,19.0,1.6625676777781768,19.0,5.0,20307,2,R,dhs_train/IA-2015-7-00020307.npz
IA-2015-7-00020312,IA,2015,14.21401806,79.12368612,22.0,1.855086013118581,22.0,5.0,20312,2,R,dhs_train/IA-2015-7-00020312.npz
IA-2015-7-00020313,IA,2015,17.00650716,81.78207737,21.0,2.656747801474276,21.0,5.0,20313,2,U,dhs_train/IA-2015-7-00020313.npz
IA-2015-7-00020321,IA,2015,17.1175717,80.57971081,21.0,1.5190658650925075,21.0,3.809523809523809,20321,2,R,dhs_train/IA-2015-7-00020321.npz
IA-2015-7-00020324,IA,2015,18.69258271,83.59484615,20.0,0.8339632994467023,20.0,3.7,20324,2,R,dhs_train/IA-2015-7-00020324.npz
IA-2015-7-00020326,IA,2015,17.7537044,83.30057379,21.0,2.662731976227404,21.0,5.0,20326,2,U,dhs_train/IA-2015-7-00020326.npz
IA-2015-7-00020327,IA,2015,15.47700157,78.48214212,21.0,3.090611584630856,21.0,5.0,20327,2,U,dhs_train/IA-2015-7-00020327.npz
IA-2015-7-00020328,IA,2015,17.72880005,83.29071246,16.0,3.192605136319836,16.0,5.0,20328,2,U,dhs_train/IA-2015-7-00020328.npz
IA-2015-7-00020329,IA,2015,18.37512118,83.40875603,22.0,2.328871964053797,22.0,4.818181818181818,20329,2,U,dhs_train/IA-2015-7-00020329.npz
IA-2015-7-00020330,IA,2015,14.63880355,79.50947204,21.0,1.5168277429937826,21.0,4.523809523809524,20330,2,R,dhs_train/IA-2015-7-00020330.npz
IA-2015-7-00020335,IA,2015,17.76421229,83.22881284,21.0,2.7115064424520376,21.0,5.0,20335,2,U,dhs_train/IA-2015-7-00020335.npz
IA-2015-7-00020336,IA,2015,14.39664801,79.97691157,22.0,2.282002758448155,22.0,4.590909090909091,20336,2,U,dhs_train/IA-2015-7-00020336.npz
IA-2015-7-00020342,IA,2015,14.43430099,78.10765094,20.0,1.25308600866814,20.0,4.95,20342,2,R,dhs_train/IA-2015-7-00020342.npz
IA-2015-7-00020344,IA,2015,16.68219237,81.46962459,22.0,2.291800278674621,22.0,5.0,20344,2,R,dhs_train/IA-2015-7-00020344.npz
IA-2015-7-00020350,IA,2015,13.6339692,78.62190666,20.0,2.2152921481880687,20.0,4.6,20350,2,R,dhs_train/IA-2015-7-00020350.npz
IA-2015-7-00020353,IA,2015,17.25225039,81.91218616,22.0,0.9841533771247816,22.0,5.0,20353,2,R,dhs_train/IA-2015-7-00020353.npz
IA-2015-7-00020354,IA,2015,18.30282933,83.90434883,21.0,2.5178010772976926,21.0,4.857142857142857,20354,2,U,dhs_train/IA-2015-7-00020354.npz
IA-2015-7-00020356,IA,2015,15.00776575,77.33673249,20.0,1.4265664821694024,20.0,5.0,20356,2,R,dhs_train/IA-2015-7-00020356.npz
IA-2015-7-00020358,IA,2015,15.81047778,77.69112274,22.0,1.077693067682577,22.0,4.545454545454546,20358,2,R,dhs_train/IA-2015-7-00020358.npz
IA-2015-7-00020359,IA,2015,16.67741312,81.96753186,22.0,1.285504011728788,22.0,4.954545454545454,20359,2,R,dhs_train/IA-2015-7-00020359.npz
IA-2015-7-00020360,IA,2015,14.15847284,79.95069303,21.0,0.4734763634121598,21.0,4.333333333333333,20360,2,R,dhs_train/IA-2015-7-00020360.npz
IA-2015-7-00020369,IA,2015,14.06471289,77.64662053,20.0,0.0370049542349327,20.0,3.85,20369,2,R,dhs_train/IA-2015-7-00020369.npz
IA-2015-7-00020370,IA,2015,14.4878865,79.43621858,20.0,1.3643603728274885,20.0,4.55,20370,2,R,dhs_train/IA-2015-7-00020370.npz
